policy,t_s,queue_p99_s,engine_p99_s,thrash_per_s
CLIMB,185.0,0.0006961774826049805,0.03916183471679687,3.0
CLIMB,186.0,0.0006961774826049805,0.03916183471679687,1.0
CLIMB,187.0,0.0006961774826049805,0.039139719009399415,2.0
CLIMB,188.0,0.0007004976272583008,0.039155220985412596,0.0
CLIMB,189.0,0.0007003688812255859,0.047071104049682615,5.0
CLIMB,190.0,0.0007003259658813477,0.04701649188995361,1.0
CLIMB,191.0,0.0008391141891479492,0.04696187973022461,3.0
CLIMB,192.0,0.0008421897888183594,0.047071104049682615,0.0
CLIMB,193.0,0.0008421897888183594,0.047071104049682615,0.0
CLIMB,194.0,0.0008421897888183594,0.047071104049682615,2.0
CLIMB,195.0,0.0008437275886535644,0.04712571620941162,1.0
CLIMB,196.0,0.0008423423767089844,0.047071104049682615,2.0
CLIMB,197.0,0.0008423423767089844,0.047071104049682615,1.0
CLIMB,198.0,0.0008438611030578613,0.04712571620941162,2.0
CLIMB,199.0,,,4.0
CLIMB,200.0,,,1.0
CLIMB,201.0,,,0.0
CLIMB,202.0,,,1.0
CLIMB,203.0,1.2551006364822386,0.104984130859375,0.0
CLIMB,204.0,1.2499353623390197,0.10497127056121826,1.0
CLIMB,205.0,1.2499353623390197,0.10497127056121826,0.0
CLIMB,206.0,1.2551006364822386,0.104984130859375,1.0
CLIMB,207.0,1.260265910625458,0.10499699115753174,0.0
CLIMB,208.0,3.269525351524352,0.104984130859375,0.0
CLIMB,209.0,3.365387659072876,0.10495841026306152,0.0
CLIMB,210.0,3.3615451836586,0.11682686567306519,0.0
CLIMB,211.0,3.3538602328300477,0.1178256893157959,1.0
CLIMB,212.0,3.3538602328300477,0.1178256893157959,1.0
CLIMB,213.0,3.369230134487152,0.11788561820983887,0.0
CLIMB,214.0,11.304124133586882,0.11788561820983887,0.0
CLIMB,215.0,11.304124133586882,0.11788561820983887,0.0
CLIMB,216.0,11.697640056610107,0.11787063598632813,0.0
CLIMB,217.0,11.672426352500915,0.11785565376281738,0.0
CLIMB,218.0,11.697640056610107,0.11787063598632813,0.0
CLIMB,219.0,11.74806746482849,0.11790060043334961,0.0
CLIMB,220.0,11.74806746482849,0.11636394023895263,0.0
CLIMB,221.0,11.722853760719298,0.10948971033096314,0.0
CLIMB,222.0,11.74806746482849,0.09374668121337891,0.0
CLIMB,223.0,11.722853760719298,0.09371859073638916,0.0
CLIMB,224.0,9.251518681049347,0.10403719902038575,1.0
CLIMB,225.0,9.22341632604599,0.10396231651306152,1.0
